"name","_col1","max_high"
"BYND","9","137.97"
"OKTA","9","178.0"
"FB","9","203.87"
"NFLX","9","452.0"
"PINS","9","16.54"
"DDOG","9","67.25"
"SHOP","9","758.09"
"SNAP","9","16.73"
"SQ","9","72.81"
"TTD","9","289.45"
"FB","10","203.35"
"NFLX","10","446.51"
"TTD","10","290.07"
"DDOG","10","66.55"
"SHOP","10","752.0"
"PINS","10","16.67"
"BYND","10","139.56"
"SNAP","10","16.93"
"OKTA","10","177.81"
"SQ","10","75.59"
"SQ","11","76.49"
"NFLX","11","440.64"
"PINS","11","16.94"
"TTD","11","296.86"
"SHOP","11","757.47"
"BYND","11","141.0"
"SNAP","11","17.15"
"DDOG","11","65.0"
"OKTA","11","179.89"
"FB","11","204.27"
"SHOP","12","754.16"
"DDOG","12","64.88"
"TTD","12","294.5"
"NFLX","12","440.34"
"SNAP","12","16.99"
"BYND","12","138.24"
"SQ","12","76.75"
"PINS","12","17.04"
"OKTA","12","179.01"
"FB","12","205.1"
"FB","13","205.64"
"SHOP","13","755.82"
"PINS","13","17.03"
"TTD","13","296.0"
"OKTA","13","178.5"
"DDOG","13","65.0"
"SQ","13","77.18"
"BYND","13","137.79"
"SNAP","13","17.0"
"NFLX","13","441.78"
"SQ","14","77.26"
"SNAP","14","16.92"
"OKTA","14","177.81"
"FB","14","204.99"
"NFLX","14","441.44"
"DDOG","14","64.13"
"SHOP","14","751.8"
"BYND","14","135.73"
"PINS","14","16.91"
"TTD","14","295.77"
"DDOG","15","65.87"
"SHOP","15","755.57"
"PINS","15","17.09"
"NFLX","15","442.14"
"TTD","15","297.67"
"SQ","15","78.25"
"FB","15","206.93"
"SNAP","15","16.97"
"OKTA","15","177.85"
"BYND","15","135.85"
,,
